LISTA - RAMOS Informática - www.professorramos.com,,8/30/2022
Código,Descrição,Preço
11001,-, $ -   
11002,VENT WATER COOLING SYSTEM," $ 210,00 "
11003,CABO IMPRESSORAS USB," $ 1,00 "
11004,HD IDE 80 GB MAXTOR 7200 *3MESES," $ 35,00 "
11005,HD IDE 120 GB MAXTOR 7200 *3MESES," $ 39,00 "
11006,HD IDE 120 GB SEAGATE 7200 *3MESES," $ 40,00 "
11007,MOUSE DR.HANK MO-D35P-D80D PS2 BRANCO AZ MO-D35P-D40D," $ 3,00 "
11008,HUB 8 ENCORE 10/100 MBITS BLACK," $ 12,00 "
11009,PL REDE KAIOMY PCI 10/100/1000 REALTEK.," $ 6,00 "
11010,DVR-STAND ALONE 4CH FXR-1004," $ 194,00 "
11011,"LCD TV FUJILINK 24"""," $ 238,00 "
11012,HD SATA 250 GB SEAGATE 8MB 7200," $ 41,00 "
11013,HD IDE 250 GB SEAGATE 7200 *3MESES," $ 50,00 "
11014,HUB 8 KAIOMY 10/100," $ 11,00 "
11015,PL REDE KAIOMY PCI 10/100 KAIOMY.," $ 4,00 "
11016,HD IDE 250 GB MAXTOR 7200 *3MESES," $ 49,00 "
11017,MOUSE DR.HANK MO-A33P-P80A OPTICAL PS2," $ 2,00 "
11018,PL PCI SUPER IDE 2 SERIAIS/1PARALELA.," $ 10,00 "
11019,NB COMPAQ CQ60-615DX CEL-2.2/2G/250/15.," $ 462,00 "
11020,VGA ZOGIS PCI-E GTX480 1536MB DDR5 HDMI.," $ 583,00 "
11021,FAX MODEM 56K [KAIOMY] LUCENT," $ 4,00 "
11022,NB ASUS UL-50A C2D-1.3/4G/320/15/US/WIN7," $ 693,00 "
11023,HD IDE 250 GB W.DIGITAL 7200 *3MESES," $ 50,00 "
11024,HD IDE 400 GB SEAGATE 7200 *3MESES," $ 62,00 "
11025,CASE DR.HANK P4 4B (KIT 3167) C/MIC," $ 41,00 "
11026,FONTE DR.HANK P4 500W REAL," $ 49,00 "
11027,PL CAPT.ENCORE TV PRO/FM C/CONTROLE TUNER.," $ 19,00 "
11028,NB HP G60-T4300 PM2.1/2G/320/15.6 NEW," $ 593,00 "
11029,PL CAPT.TV ZOGIS P/NOTEBOOK USB 2.0," $ 27,00 "
11030,HD SATA 320 GB SEAGATE 16MB 7200," $ 47,00 "
11031,VGA ZOGIS AGP 256MB FX5500 ZO55-DAGP.," $ 40,00 "
11032,CAM. INOVIA WEB RCW-100 WHITE," $ 10,00 "
11033,MOUSE SATELLITE MINI A-9P USB PRE," $ 6,00 "
11034,PL PCI KAIOMY USB 2.0 5P," $ 4,00 "
11035,REDE ADSL MODEM ROUTER D-LINK 500B.," $ 28,00 "
11036,RAM P/NB DDR2 1GB 667 KINGSTON.," $ 21,00 "
11037,RAM P/NB DDR2 512MB 667 MARKVISION.," $ 5,00 "
11038,RAM DDR2 1GB PC6400 800 KINGSTON," $ 26,00 "
11039,REDE ROUTER D-LINK WBR-1310 WIRELESS," $ 16,00 "
11040,REDE ROUTER D-LINK WBR-2310 WIRELESS," $ 35,00 "
11041,CASE DR.HANK P4 4B (KIT 5758) JAGUATIRICA," $ 60,00 "
11042,HDD IDE NB 160 GB SAMSUNG 5400," $ 55,00 "
11043,FONTE P4 SATELLITE 400W REAL (545K8)," $ 37,00 "
11044,VGA PWC PCI-E 512MB X1650 PRO OEM," $ 26,00 "
11045,VGA ZOGIS PCI-E 256MB 8400GS.," $ 35,00 "
11046,RAM DDR2 2GB 667 KINGSTON.," $ 47,00 "
11047,GVTA P/HD NB I-MICRO SATA NEGRO," $ 7,00 "
11048,GVTA P/HD NB I-MICRO SATA SILVER," $ 7,00 "
11049,HDD SATA NB 250 GB SAMSUNG 5400," $ 43,00 "
11050,HD SATA 500 GB SEAGATE 16MB 7200," $ 49,00 "
11051,HD IDE 160 GB SAMSUNG," $ 41,00 "
11052,REDE WL PCI ENCORE ENLWI-G2 54MBPS," $ 10,00 "
11053,RAM DDR2 2GB 667 MARKVISION.," $ 44,00 "
11054,HD IDE 250 GB SAMSUNG 5400," $ 48,00 "
11055,FONTE P4 SATELLITE 12V SL-X1000 1000W," $ 134,00 "
11056,REDE WL USB ENCORE ENUWI-G2.," $ 10,00 "
11057,HD SATA 750 GB SAMSUNG 32MB 7200," $ 71,00 "
11058,HD SATA 1 TB SAMSUNG 32MB 7200," $ 74,00 "
11059,PLACA FIREWIRE IEEE 1394 3+1 PORT PCI.," $ 7,00 "
11060,HD SATA 1 TB SEAGATE 32MB 7200," $ 75,00 "
11061,REDE ADSL MODEM ROUTER WIRE 2640B D-LINK DSL-2640B," $ 45,00 "
11062,HDD SATA NB 320 GB SAMSUNG 5400," $ 48,00 "
11063,RAM DDR2 2GB 800 KINGSTON.," $ 47,00 "
11064,FILTRO DE LINHA PLASTICO PRETO OMEGA," $ 4,00 "
11065,HDD SATA NB 500 GB SAMSUNG 5400," $ 65,00 "
11066,RAM DDR2 2GB 800 MARKVISION/INFINEON," $ 46,00 "
11067,VGA ZOGIS PCI-E 512MB 9500GT DDR2 HDMI.," $ 58,00 "
11068,VGA ZOGIS PCI-E 512MB 9800GT DDR3 HDMI.," $ 121,00 "
11069,CASE DR.HANK P4 4B (KIT 2C67)," $ 41,00 "
11070,RAM P/NB DDR2 512MB 667 ELPIDA/NANYA," $ 5,00 "
11071,VGA ZOGIS PCI-E 1GB 9500GT HDMI DDR2," $ 70,00 "
11072,FONTE P4 BEST BP-504/505 24 PINOS," $ 10,00 "
11073,VGA XFX PCI-E NV GF9500GT 512MB DDR2 550.," $ 51,00 "
11074,MB ASUS M2N68-AM," $ 37,00 "
11075,HD IDE 160 GB SEAGATE 7200," $ 42,00 "
11076,HD SATA 500 GB SEAGATE 16MB 7200," $ 45,00 "
11077,VGA ZOGIS PCI-E 1GB 9400GT HDMI," $ 65,00 "
11078,HD SATA 1.5 TB SEAGATE 32MB 7200," $ 102,00 "
11079,HD SATA 500 GB SEAGATE 32MB 7200," $ 45,00 "
11080,RAM MICRO 2GB KINGSTON ," $ 5,00 "
11081,MOUSE LG 3D-520 BRANCO PS/2," $ 5,00 "
11082,MOUSE LG XM-110 PRETO," $ 7,00 "
11083,MOUSE LG XM-120 VERMELHO," $ 7,00 "
11084,MOUSE LG XM-250 PRETO," $ 5,00 "
11085,MOUSE LG XM-900 BRANCO/TOUCH SCROLL.," $ 19,00 "
11086,CABO IMPRESSORAS USB 2.0 COBRE FULL 1.8M," $ 1,00 "
11087,PEN DRIVE 2GB KINGSTON AZUL.," $ 8,00 "
11088,VGA ZOGIS PCI-E 1GB 9800GT HDMI/DDR3," $ 138,00 "
11089,HD IDE 400 GB SEAGATE 7200 3400832," $ 55,00 "
11090,PEN DRIVE 4GB KINGSTON AZUL," $ 10,00 "
11091,PEN DRIVE 8GB KINGSTON DT101 AZUL," $ 18,00 "
11092,CAM. INOVIA WEB RCW-501 USB BLACK PLUS," $ 14,00 "
11093,MB ASUS M2N68-AM SE," $ 45,00 "
11094,CD DVD-RW LG GH22NS40 22X SATA," $ 19,00 "
11095,HD EXT 320GB USB LG PRETO," $ 66,00 "
11096,CPU INTEL E7500 C2 DUO 2.93/3M/1066 *," $ 129,00 "
11097,CAM. INOVIA WEB RCW-501 USB SILVER PLUS," $ 14,00 "
11098,MB ASUS P5KPL-AM SE," $ 52,00 "
11099,MB ASROCK N68-S (AMD)," $ 43,00 "
11100,MB ASUS M2N68-VM HDMI," $ 45,00 "
11101,NB ASUS *BATERIA EEEPC900 PRETO," $ 42,00 "
11102,CAM. DR.HANK VC-P060 2.0M C/MIC USB1.1," $ 14,00 "
11103,CAM. DR.HANK VC-P073 2.0M C/MIC USB1.1," $ 12,00 "
11104,MB ASUS P6T (LGA1366)," $ 258,00 "
11105,MB ASUS M4A78T-E," $ 122,00 "
11106,MB ASUS M4A79T DELUXE," $ 180,00 "
11107,VGA PWC PCI-E 512MB AX4350 DDR2," $ 42,00 "
11108,MB ASUS M2N68-AM SE2," $ 51,00 "
